code,post_office
20502,Olkurto
20507,Oloomirani
40221,Omogonchoro
40227,Oriang
10106,Othaya
40108,Otonglo
623,Parklands
40113,Pembe Tatu
60302,Post
617,Racecourse Road
40330,Ramba
40634,Rangala
40137,Ratta
40133,Reru
40226,Ringa
512,Riruta
40326,Rodi Kopany
20108,Rongai
618,Ruaraka
60103,Runyenjes
40327,Rusinga
20143,Sabatia
10230,Sagana
40405,Sare
40612,Sawagongo
30407,Seretunin
50129,Shiatsala
80407,Shimba Hills
40600,Siaya
40635,Sigomre
20212,Sigowet
30127,Simat
50401,Sio Port
20326,Sipili
50208,Sirisia
60701,Sololo
20223,Sorget
20406,Sotik
20319,South Kinangop
20109,Subukia
90132,Sultan Hamud
30220,Tabani
30704,Tambach
80302,Taveta
30405,Tenges
1026,Thare
60210,Tigiji
20110,Timber Mill Road
400,Tom Mboya
20153,Torongo
90203,Tulia
60213,Tunyai
10137,Uaso Nyiro
80400,Ukunda
40608,Uranga
40637,Usigu
50310,Vihiga
80211,Vitengeni
90212,Voo
70200,Wajir
90103,Wamunyu
10303,Wanguru
80204,Watalii Road
30603,Weiwei
40141,Winam
50311,Wodanga
508,Yaya Towers
90213,Zombe
70302,Rhamu
40512,Riochanda
204,River
300,Ronald Ngala Street
40404,Rongo
232,Ruiru
20313,Ruri
10134,Ruthangati
30211,Saboti
80120,Samburu
606,Sarit Centre
40614,Sega
20150,Shabaab
50130,Shibuli
50107,Shinyalu
40605,Sidindi
20405,Sigor
30217,Sikinwa
40308,Sindo
20230,Siongiroi
40636,Sirembe
40642,Sirongo
40109,Sondu
20205,Sosiot
20604,South Horr
30105,Soy
20602,Suguta Mar Mar
40400,Suna
50238,Tabani
80203,Tarasaa
90133,Tawa
10110,Thaara
210,Thigio
10402,Timau
30108,Timboroa
40513,Tombe
30707,Tot
60301,Tulla
30106,Turbo
40606,Ugunja
40607,Ukwala
40228,Uriri
605,Uthiru
621,Village Market
507,Viwandani
40638,Wagusu
10138,Wamagana
1010,Wamwangi
10225,Wanjengi
80202,Watamu
80303,Werugha
80504,Witu
80304,Wundanyi
90134,Yoani
40511,Rigoma
40220,Riosiri
10109,Road
20127,Ronda
20204,Roret
20321,Rumuruti
10133,Ruringu
10208,Saba
80308,Sagalla
50128,Samitsi
513,Sasumua Road
50308,Serem
50106,Shianda
50131,Shimanyiro
60104,Siakago
40643,Sifuyo
40135,Sigoti
20422,Silibwet
30703,Singore
20423,Siongiroi
30213,Sirende
20128,Solai
40110,Songhor
20227,Sotik
20155,South Kinangop
40418,Suba Kuria
20151,Sulmac
30212,Suwerwa
90131,Tala
80309,Tausa
40328,Tende
10135,Thangathi
1000,Thika
60203,Timau
50309,Tiriki
30218,Tongaren
90409,Tseikuru
10136,Tumu Tumu
20129,Turi
517,Uhuru Gardens
222,Uplands
40609,Usenge
514,Valley Arcade
80119,Vipingo
80300,Voi
613,Waithaka
20603,Wamba
614,Wangige
20305,Wanjohi
50205,Webuye
800,Westlands
20329,Wiyumiririe
40610,Yala
30214,Ziwa
